date,positive,negative
2023-04-1,36,42
2023-04-2,36,43
2023-04-3,37,42
2023-04-4,36,42
2023-04-5,36,40
2023-04-6,38,42
2023-04-7,38,39
2023-04-8,38,40
2023-04-9,39,39
